tileswide 39
tileshigh 23
tilewidth 32
tileheight 32

layer 0
14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
16,3,5,3,5,5,3,5,3,5,5,3,3,5,3,5,3,5,3,13,13,4,4,4,6,4,4,6,6,6,6,6,6,6,6,6,6,6,16,
16,3,3,3,5,3,5,3,3,5,5,5,5,3,3,3,5,3,5,13,13,4,6,6,4,6,6,4,6,4,4,6,6,6,6,6,6,6,16,
16,13,17,1,17,1,1,17,17,1,13,17,1,1,17,17,1,17,1,17,1,17,1,17,1,1,17,13,11,11,11,11,11,17,1,17,1,13,16,
16,0,17,17,17,17,17,17,17,17,17,17,1,17,1,17,1,1,17,1,1,17,17,1,17,17,1,17,11,9,9,9,11,17,1,17,17,1,16,
16,7,17,17,17,7,7,7,7,7,1,1,1,17,17,17,17,1,1,1,1,17,17,17,1,1,1,17,11,10,10,10,11,17,1,17,17,1,16,
16,3,1,17,1,8,0,0,0,0,1,17,8,7,7,7,7,1,1,1,17,8,7,7,7,17,1,1,11,11,11,11,11,0,17,17,17,1,16,
16,5,1,17,1,8,16,15,15,0,1,17,8,16,16,16,0,1,1,1,17,8,0,16,0,17,1,1,1,0,16,16,16,0,17,17,17,1,16,
16,0,17,17,1,8,16,9,9,0,1,17,8,16,6,6,0,1,1,1,17,8,16,11,16,0,1,1,1,0,16,3,16,0,17,17,1,17,16,
16,11,1,17,17,8,16,10,10,0,1,17,8,16,9,9,0,1,1,1,1,8,16,11,16,0,1,1,1,0,16,5,16,0,17,17,17,17,16,
16,11,17,1,17,8,16,13,3,0,1,17,8,16,10,10,0,17,1,17,17,8,16,11,16,0,1,1,17,0,14,3,15,0,17,17,17,17,16,
16,11,1,17,17,8,14,15,15,0,1,17,8,14,15,15,0,17,1,17,17,8,14,15,15,0,17,17,17,0,14,15,13,0,17,17,1,1,16,
